  2     0.5000000000
  3     1.7320508076
  4     3.6742346142
  5     6.4746914947
  6     9.9852813742
  7    14.4529797059
  8    19.6752878612
  9    25.7599865313
 10    32.7169494601
 11    40.5964505082
 12    49.1652530576
 13    58.8532306117
 14    69.3063632966
 15    80.6702441143
 16    92.9116553025
 17   106.0504048286
 18   120.0844674475
 19   135.0894679270
 20   150.8815683338
 21   167.6416258950
 22   185.2875361493
 23   203.9301906629
 24   223.3470740518
 25   243.8127606026
 26   265.1333263174
 27   287.3026150330
 28   310.4915423582
 29   334.6344403086
 30   359.6039459038
 31   385.5308380633
 32   412.2612746505
 33   440.2040582989
 34   468.9048532813
 35   498.5734541438
 36   529.1224112279
 37   560.6279730637
 38   593.0489435380
 39   626.3890090168
 40   660.6752788346
 41   695.9167443419
 42   732.0781075437
 43   769.1908491730
 44   807.1742630853
 45   846.1884022990
 46   886.1671136392
 47   927.0592706797
 48   968.7134553438
 49  1011.5571826536
 50  1055.1823147263
 51  1099.8192903189
 52  1145.4219806346
 53  1191.9222906171
 54  1239.3614747292
 55  1287.7890572384
 56  1337.0987274148
 57  1387.4303724833
 58  1438.6381050033
 59  1490.7743860781
 60  1543.8350995985
